Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,org.apache.hadoop.tools.TestHarFileSystem,37,1,33,4,2,0,,,402,23,322,274,286,4,,0.19,14,62
Public Class,org.apache.hadoop.tools.rumen.CDFPiecewiseLinearRandomGenerator,15,2,6,7,1,0,,,66,8,21,12,15,1,,1.76,3,37
Public Class,org.apache.hadoop.tools.rumen.ClusterTopologyReader,11,0,7,5,1,0,,,73,4,29,14,16,2,,1.38,5,40
Public Class,org.apache.hadoop.tools.rumen.ConcatenatedInputFilesDemuxer,18,4,13,2,3,0,,,329,68,206,126,152,3,,0.27,8,56
Public Class,org.apache.hadoop.tools.rumen.CurrentJHParser,9,1,7,2,2,0,,,78,10,38,16,22,3,,0.79,6,30
Public Class,org.apache.hadoop.tools.rumen.DeepInequalityException,15,1,5,9,1,0,,,59,6,13,5,9,1,,3.08,2,40
Public Class,org.apache.hadoop.tools.rumen.DefaultInputDemuxer,11,1,10,0,2,0,,,62,5,35,17,22,2,,0.66,6,23
Public Class,org.apache.hadoop.tools.rumen.DeskewedJobTraceReader,16,3,11,1,3,0,,,185,43,107,62,71,7,,0.33,19,35
Public Class,org.apache.hadoop.tools.rumen.Folder,69,14,53,2,11,0,,,551,116,401,309,285,37,,0.09,79,35
Public Class,org.apache.hadoop.tools.rumen.Hadoop20JHParser,15,2,12,1,3,0,,,197,34,133,69,85,6,,0.23,20,30
Public Class,org.apache.hadoop.tools.rumen.HadoopLogsAnalyzer,45,9,34,2,7,0,,,1822,387,1301,969,906,32,,0.10,231,134
Public Class,org.apache.hadoop.tools.rumen.Job20LineHistoryEventEmitter,4,0,4,0,1,0,,,231,51,163,96,102,1,,0.11,3,18
Public Class,org.apache.hadoop.tools.rumen.JobBuilder,17,2,13,1,3,0,,,664,116,470,318,337,26,,0.17,108,78
Public Class,org.apache.hadoop.tools.rumen.JobConfigurationParser,74,10,53,11,13,0,,,100,11,55,40,43,13,,0.62,13,34
Public Class,org.apache.hadoop.tools.rumen.JobHistoryParserFactory,12,1,11,0,3,0,,,67,9,37,10,20,3,,0.57,3,21
Public Class,org.apache.hadoop.tools.rumen.JobTraceReader,10,0,3,7,1,0,,,43,1,8,2,5,1,,4.25,2,34
Public Class,org.apache.hadoop.tools.rumen.LoggedDiscreteCDF,7,1,6,0,2,0,,,139,24,77,40,55,4,,0.49,19,38
Public Class,org.apache.hadoop.tools.rumen.LoggedJob,6,0,5,0,1,0,,,644,133,471,232,307,6,,0.09,117,42
Public Class,org.apache.hadoop.tools.rumen.LoggedLocation,12,1,10,1,2,0,,,111,12,57,31,35,4,,0.74,12,42
Public Class,org.apache.hadoop.tools.rumen.LoggedNetworkTopology,10,2,8,1,2,0,,,157,27,87,44,57,5,,0.49,19,43
Public Class,org.apache.hadoop.tools.rumen.LoggedSingleRelativeRanking,6,0,6,0,2,0,,,94,11,50,22,28,2,,0.66,12,33
Public Class,org.apache.hadoop.tools.rumen.LoggedTask,7,0,7,0,2,0,,,357,54,273,149,172,4,,0.11,57,30
Public Class,org.apache.hadoop.tools.rumen.LoggedTaskAttempt,7,0,6,0,1,0,,,505,82,389,224,246,4,,0.09,69,34
Public Class,org.apache.hadoop.tools.rumen.MapAttempt20LineHistoryEventEmitter,4,0,4,0,1,0,,,79,14,48,24,26,1,,0.35,3,17
Public Class,org.apache.hadoop.tools.rumen.MapTaskAttemptInfo,5,0,4,2,1,0,,,44,4,14,4,9,1,,1.86,3,26
Public Class,org.apache.hadoop.tools.rumen.Node,8,0,5,3,2,2,,,141,14,72,33,49,4,,0.76,21,55
